"dates","PT","NL","IT","IE","GR","GB","FR","ES","DE","BE"
2007-05-17,0.444608464352691,-0.120010042076727,0.185470283733362,-0.376960581533818,NA,-0.301246063770959,0.0647705482286125,NA,0.330219371531593,-0.0271064395349367
2007-05-18,0.425146673438025,-0.124187417029217,0.182638862608534,-0.263734210178038,NA,-0.29923828165426,0.0434896231819356,NA,0.337286100552331,-0.0494894187769739
2007-05-21,0.405187502187778,-0.0386033831828536,0.169605747068347,-0.214780773728619,NA,-0.27832905445595,0.0311912530682457,NA,0.29149587998673,-0.0663776235795823
2007-05-22,0.393629969353124,-0.0144390219164554,0.168093734794164,-0.227633215059651,NA,-0.270221638983367,0.013903426213916,NA,0.270924980509484,-0.100108016755591
2007-05-23,0.481528783932436,-0.018223002857391,0.197235562159904,-0.209749841856386,NA,-0.238683637350142,0.00933287229490899,NA,0.340398857067904,-0.138470167539458
2007-05-24,0.502930078107809,-0.242690847852246,0.196593302127122,-0.0567047977123743,NA,-0.26979424197186,-0.000707201857286102,NA,0.340398857067904,-0.132434582310954
2007-05-25,0.559250482373479,-0.239278899345698,0.197408832460995,-0.0203584352802409,NA,-0.140528813059759,0.00735663474115517,NA,0.368865605065306,-0.115298984299099
2007-05-28,0.548605168833699,0.0899235973995272,0.194166530202123,-0.0157439648222281,NA,-0.0607522311504512,0.0411319230575224,NA,0.361151087277503,-0.0804172364315472
2007-05-29,0.570993898305673,0.18636596274391,0.254099904970758,-0.0157439648222281,-0.816496580927726,-0.123462830699054,0.0897431295917458,NA,0.375256827158764,0.034178919098555
2007-05-30,0.451759431178507,0.175620600653756,0.245600585076059,-0.101154291651617,-0.816496580927726,-0.179841542027101,0.0746347361004281,NA,0.362572394091137,0.00250024193326253
2007-05-31,0.444674500448128,0.18080492721837,0.221327127518232,-0.191216180456472,-0.790569415042095,-0.17691716102888,0.063657361610498,NA,0.178064736565874,0.136648752662842
2007-06-01,0.402869674771469,0.160812919365104,0.244459005881952,-0.160728919067411,-0.790569415042095,-0.174079024877029,-0.0542304140354159,NA,0.187818160449281,0.10401139742466
2007-06-04,0.410813684905921,0.135798053683817,0.177489995775234,-0.164103037950631,-0.790569415042095,-0.162623171742745,-0.0387312844263345,0.836754730255759,0.168409148327611,0.0784633208950667
2007-06-05,0.380409673234531,0.126738228904414,0.128877004291978,-0.164103037950631,-0.790569415042095,-0.132545059823703,-0.0187844828349323,0.838055882586395,0.179271698426917,0.0320154608166446
2007-06-06,0.428955202961208,0.102471613641928,0.122683176595714,-0.164103037950631,-0.790569415042095,-0.124668910727256,-0.0685317838073228,0.839143163217405,0.272329179238244,0.0210443791545639
2007-06-07,0.41732995387176,0.355392679770606,0.140428306986092,-0.154974445672825,-0.790569415042095,-0.0995551687382649,-0.0904369029567546,0.839143163217405,0.240031042911084,-0.0553579607788211
2007-06-08,0.329423876448962,0.350754147427697,-0.0422813597996773,-0.129885772129675,-0.790569415042095,-0.0652062506725463,-0.11253739674511,0.601747605770136,0.19410878194321,-0.153184488387258
2007-06-11,0.366843456118355,0.352386186194998,0.0147889240620931,-0.129885772129675,-0.790569415042095,-0.0270409264424369,-0.221171284459285,0.606221668471451,0.199846067602177,-0.120948948722127
2007-06-12,0.496286856873547,0.398813607520732,0.0076589610511433,-0.22196400162643,-0.774596669241483,-0.112662749085242,-0.202289480519024,0.183783186270588,0.193923040023338,-0.130647615959884
2007-06-13,0.480348132363919,0.392089759545989,0.0346683351177871,-0.289887220007523,-0.774596669241483,-0.0940782599849059,-0.191441380574946,0.0873358364010896,0.195787141414822,-0.0283078617470834
2007-06-14,0.507494715505492,0.504734818262256,0.0318450567813124,-0.108558928029012,-0.774596669241483,-0.0673999372862903,-0.184611444566617,0.106499595958776,0.189292947434619,-0.0365908918376068
